ID_REF,sputum from pulmonary tuberculosis patient1,sputum from pulmonary tuberculosis patient1(dye flip),sputum from pulmonary tuberculosis patient 2,sputum from pulmonary tuberculosis patient 3,sputum from pulmonary tuberculosis patient 3 (dye flip),sputum from pulmonary tuberculosis patient 4,sputum from pulmonary tuberculosis patient 5,sputum from pulmonary tuberculosis patient 5 (dye flip),sputum from pulmonary tuberculosis patient 6,sputum from pulmonary tuberculosis patient 7,sputum from pulmonary tuberculosis patient 7 (dye flip),,,,,,,,
10101,0.484464,2.12475,1.42877,0.274953,1.36972,0.921661,0.854589,1.64559,0.421933,1.58423,2.01903,,,,,,,,
10102,0.481007,1.37502,1.15922,-0.244907,0.779812,0.261506,-0.237846,1.2354,0.179088,1.15727,1.04042,,,,,,,,
10103,-0.0502823,-0.844472,0.164327,0.0861501,-0.577664,0.383861,-0.86207,-0.164561,-0.612529,-0.845461,-1.8514,,,,,,,,
10104,0.980206,1.67538,1.79186,0.329541,0.958127,3.06177,0.519058,2.06198,0.692762,1.6531,2.62002,,,,,,,,
10105,0.529254,0.7413,0.925557,0.145673,0.83049,0.308104,-0.167403,0.162652,null,0.605126,0.237017,,,,,,,,
10106,0.168718,-1.66437,-0.139875,-0.601607,-1.07722,1.01012,-0.751791,1.32951,0.641648,-0.240403,1.1561,,,,,,,,
10107,0.451205,1.10148,0.976558,-0.148444,0.900677,0.181207,0.709698,null,null,null,0.365993,,,,,,,,
10108,0.498921,0.876966,1.1782,0.252456,0.304964,0.471617,0.805518,0.655893,null,1.07927,0.77402,,,,,,,,
10109,0.289655,1.04948,0.886555,0.30821,0.689103,1.14129,0.129299,0.766962,0.335806,0.194076,0.761048,,,,,,,,
10110,0.594103,0.497635,1.06887,0.15872,0.467337,0.0706405,0.400454,0.40403,0.308124,-0.662884,-0.564947,,,,,,,,
10111,0.617466,1.27772,1.40182,0.4783,0.314707,1.27742,0.713788,0.716584,0.310764,0.953558,0.399634,,,,,,,,
10112,0.415782,1.2415,1.41382,0.735131,0.371985,0.938568,0.151279,0.414955,0.203331,1.13759,0.14607,,,,,,,,
10113,-0.488945,-0.499772,-0.796191,-0.327039,0.0689955,-0.768454,-0.572447,0.207276,-0.0640664,-0.959335,-0.963279,,,,,,,,
10114,0.0351319,-0.661362,0.133376,0.0818064,-0.356389,-0.612522,0.361388,0.236834,-0.19857,-0.263556,-0.676952,,,,,,,,
10115,0.689993,0.277892,1.38858,0.239889,-0.247805,1.46913,1.02525,1.60927,0.746024,1.06847,1.03678,,,,,,,,
10201,0.694169,2.22915,1.40372,0.446898,1.54101,1.45282,1.0124,1.38063,0.443374,1.25634,1.77762,,,,,,,,
10202,0.0848703,0.387201,0.724258,-0.0925501,-0.00319956,-0.0861288,null,0.450052,null,null,0.337536,,,,,,,,
10203,0.655177,2.06242,1.51777,-0.009978,1.36777,1.22769,-0.806499,1.35833,0.0564426,-0.0525146,1.42538,,,,,,,,
10204,-1.48549,-3.78383,-3.03741,-2.73578,-2.32414,-2.68473,-1.80904,-0.590623,-0.936885,-3.05809,-2.20197,,,,,,,,
10205,-0.226658,-1.21002,-0.527328,-1.34169,-0.831857,-0.243378,null,null,null,null,null,,,,,,,,
10206,-1.229,-3.36073,-2.42782,-1.31216,-2.25303,-2.02737,-2.16738,-0.64948,-0.763676,-3.09445,-2.23246,,,,,,,,
10207,-0.545467,-0.669695,-0.589958,-0.294548,-0.63379,-0.65008,0.00220701,0.199878,-0.32438,-1.46179,-0.925332,,,,,,,,
10208,-1.70198,-2.48704,-1.97088,-1.59993,-1.41885,-1.52283,-1.51296,-0.629809,-0.573818,-2.47656,-1.76254,,,,,,,,
10209,-0.116605,-1.11695,-0.214524,-0.377613,-0.312843,-0.0915483,null,-0.413878,-0.18831,-1.56976,-1.0122,,,,,,,,
10210,0.401979,1.56159,1.22444,0.287166,1.21721,1.50088,0.062245,0.972594,0.563388,1.23171,1.66423,,,,,,,,
10211,0.0465469,-0.246996,-0.257452,-0.0949574,0.0385802,-0.885458,-0.0909288,0.340698,0.22429,-0.0865286,-0.214978,,,,,,,,
10212,-0.0850258,-0.72117,-0.147418,0.201812,0.131478,-0.268044,-0.170042,0.0216875,-0.136338,-0.85713,-1.10694,,,,,,,,
10213,0.895339,1.46876,1.93821,1.16425,0.867263,1.12037,0.612591,0.524637,0.227782,2.0253,0.59799,,,,,,,,
10214,-0.3409,-0.903178,-0.841838,-0.372878,-0.818768,-0.456111,-0.383217,-0.0185997,-0.264221,-1.04141,-0.674151,,,,,,,,
